,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,Primus/ETCO2,Orchestra/PPF20_RATE,BIS/BIS
13,0.06402664692820133,0.04811250925240563,0.06402664692820133,0.07772020725388601,0.04311621021465581,0.11917098445595854,0.045248450078652726,0.0024983806791894145
14,0.9299610894941635,0.9299610894941635,0.9299610894941635,0.14640077821011674,0.08852140077821012,0.10034013605442177,0.21162734127949404,0.00024324981756263683
17,0.03652430044182622,0.02464408443789887,0.03652430044182622,0.029847815414825726,0.029553264604810996,0.03333333333333333,0.02538170749668614,0.00029456527075457804
29,0.03992146596858639,0.03178758414360509,0.039640987284966345,0.030759162303664923,0.022905759162303665,0.07624345549738219,0.027067458276845403,0.0022906829975223226
46,0.07463249151903506,0.05880135695439125,0.07463249151903506,0.06275914059555221,0.05767056162834527,0.04947229551451187,0.12364527377250023,0.0020733201394779
50,0.08408408408408409,0.07307307307307308,0.08408408408408409,0.038163163163163163,0.03315815815815816,0.042907180385288964,0.004755052243008196,0.00012513295376337358
59,0.17840095465393796,0.14081145584725538,0.17780429594272076,0.17959427207637232,0.16646778042959426,0.04175365344467641,0.03879438973440764,0.0014920919128618322
69,0.042639869636067355,0.025801195002715917,0.04182509505703422,0.08527973927213471,0.10700706137968495,0.05798479087452472,0.019693059894064918,0.003123726741817194
70,0.06956029973137283,0.03704227343418634,0.06913615156227909,0.04354587869362364,0.03746642160328008,0.06877783275606135,0.004171085189112761,0.00014139271827500884
75,0.03018807006215191,0.012914682379530229,0.030107353297279846,0.016627653563645168,0.017596254742109935,0.037005649717514126,0.014206723977882713,0.007345522056746176
77,0.04069119286510591,0.024154589371980676,0.03976217019695281,0.08305462653288741,0.050724637681159424,0.022756827048114433,0.13360587196878193,0.000278732695345164
93,0.14458413926499034,0.10058027079303675,0.14361702127659576,0.14796905222437137,0.1769825918762089,0.05245346869712352,0.004353083434099154,0.0009673518742442564
101,0.11980588413709432,0.060661207158022444,0.11980588413709432,0.04807400667273279,0.07006369426751592,0.03237791932059448,0.03571699400925154,0.0001516645180859938
125,0.040429373996789725,0.023876404494382022,0.04063001605136437,0.03140048154093098,0.07072632423756019,0.050912921348314606,0.041532905296950244,0.0009530497592295345
153,0.06511627906976744,0.04224806201550388,0.06472868217054263,0.07829457364341086,0.05465116279069768,0.09152542372881356,0.05310592111638725,0.002035080918693672
167,0.07967032967032966,0.062454212454212454,0.07948717948717948,0.0684981684981685,0.06978021978021978,0.10192307692307692,0.06474358974358975,0.0019230769230769232
208,0.08074807480748075,0.06820682068206821,0.08074807480748075,0.06820682068206821,0.0638063806380638,0.10931485758275597,0.06381340081417097,0.006711409395973154
221,0.12473940236275191,0.08617095205003475,0.12439193884642112,0.11257817929117443,0.22446143154968728,0.33900364520048604,0.15218902015288394,0.004343293954134816
237,0.03900614480363345,0.017365749398877906,0.03713598717606198,0.029299136165286312,0.024222994033306616,0.047366780928638205,0.0194585448392555,0.0008905512512245079
247,0.03933054393305439,0.02612738261273826,0.039237563923756394,0.042398884239888426,0.033193863319386334,0.0387243735763098,0.032357043235704326,0.0001394700139470014
251,0.08091806360645465,0.03532821557261476,0.08060473131756228,0.021619927933573556,0.024048253172489424,0.07483552631578948,0.012102459658467806,7.833307222309259e-05
286,0.06221198156682028,0.046543778801843315,0.06221198156682028,0.06866359447004608,0.04009216589861751,0.08279569892473118,0.005223135417466779,0.00038405407481373376
295,0.07554129911788292,0.04843624699278268,0.07538091419406576,0.04843624699278268,0.04025661587810746,0.04152637485970819,0.02526265137541102,8.019889325527307e-05
351,0.9524996537875641,0.9524996537875641,0.9524996537875641,0.04196094723722476,0.034344273646309376,0.06543868153174988,0.009694619486185167,0.00013849456408835954
353,0.04533302336394281,0.01987678716726723,0.04533302336394281,0.14855283040799722,0.04789027083575497,0.029292107404393815,0.04824179017727405,0.00011624527753560012
354,0.05720255974924905,0.033302860127987464,0.05720255974924905,0.11349092333812198,0.04806059814548779,0.10786106032906764,0.066414157905048,0.20459740090119508
363,0.057343139508159044,0.01574350723971501,0.057343139508159044,0.015628591128476213,0.041829464490921626,0.045838359469240045,0.005114060794115957,0.00022984542894903176
397,0.06815928618638467,0.01577990746860542,0.06700264375413087,0.025033046926635823,0.021976206212822206,0.04018502457357618,0.043169331185194365,4.131036477052093e-05
413,0.03357996585088219,0.0005691519635742744,0.03329538986909505,0.12919749573136027,0.056915196357427436,0.01693227091633466,0.1275081827237797,0.00028461647929415115
416,0.07167919799498747,0.06215538847117794,0.07117794486215538,0.05789473684210526,0.08721804511278196,0.08070175438596491,0.06955758867025943,0.0006266449429753102
424,0.9157733537519143,0.9157733537519143,0.9157733537519143,0.15084226646248086,0.09571209800918837,0.0214190093708166,0.14780777331035802,0.00019146084625694046
449,0.06763848396501458,0.05150631681243926,0.06705539358600583,0.0586977648202138,0.05617103984450923,0.009523809523809525,0.04927592574594227,0.000388764700165225
481,0.05265273311897106,0.028938906752411574,0.05265273311897106,0.07013665594855305,0.04722668810289389,0.10829817158931083,0.03175560245201487,0.7744950256255653
488,0.03184713375796178,0.02388535031847134,0.03184713375796178,0.07484076433121019,0.049893842887473464,0.045820433436532505,0.04600141542816702,0.00035385704175513094
490,0.04195988740323716,0.027973258268824772,0.04195988740323716,0.027885292047853623,0.027533427163969035,0.02247536945812808,0.025730119634060522,0.37306474313863475
560,0.06648994919372653,0.04616743980561078,0.06648994919372653,0.06140932184669759,0.06936160812900376,0.04868624420401855,0.04440516955705291,0.0004418424831547553
